X,Y,Z
-15.305712699890137,61.55055236816406,21.384071350097656
-15.912372589111328,54.668609619140625,16.864803314208984
-15.671716690063477,46.005523681640625,15.335296630859375
-16.119047164916992,37.658111572265625,15.236598014831543
-15.976086616516113,31.58392333984375,15.311966896057129
-18.92191505432129,23.550912857055664,14.423654556274414
-18.823579788208008,15.04979133605957,12.324075698852539
-21.9492130279541,7.504763603210449,12.035151481628418
-30.00157356262207,1.010122299194336,13.30783462524414
-33.87832260131836,-2.149995803833008,17.50912857055664
-39.80760192871094,-5.8447265625,20.5076904296875
-43.87135314941406,-4.0207672119140625,26.791397094726562
-51.31523513793945,-2.664499282836914,30.56462860107422
-59.67467498779297,-4.190523147583008,33.07765197753906
-67.6103744506836,-3.003664016723633,35.23872756958008
-75.61779022216797,-6.342159271240234,35.8798713684082
-82.55819702148438,-10.196903228759766,33.923057556152344
-84.59895324707031,-18.065811157226562,30.856393814086914
-83.38207244873047,-26.52277374267578,29.074188232421875
-80.11836242675781,-34.57761764526367,28.012849807739258
-75.37998962402344,-41.88087463378906,27.055809020996094
-69.42755889892578,-48.203792572021484,25.90814971923828
-62.544559478759766,-53.402374267578125,24.37945556640625
-55.02913284301758,-57.50212860107422,22.494976043701172
-47.18489074707031,-60.90270233154297,20.542375564575195
-39.08148193359375,-63.743064880371094,18.770639419555664
-30.639223098754883,-65.63397216796875,17.36736297607422
-21.973888397216797,-66.50072479248047,16.367462158203125
-13.231483459472656,-66.45784759521484,15.711699485778809
-6.663003921508789,-64.30281066894531,15.45976448059082
1.880060076713562,-60.49418640136719,15.53877067565918
7.694110870361328,-54.5689697265625,13.307609558105469
14.18753719329834,-47.58058166503906,12.2985258102417
17.930727005004883,-41.90019989013672,8.743897438049316
22.053503036499023,-36.423728942871094,5.160290718078613
29.343616485595703,-32.068241119384766,7.3209381103515625
36.67631149291992,-28.046470642089844,9.964323997497559
43.88032150268555,-23.89318084716797,12.749482154846191
49.158626556396484,-18.198158264160156,16.58468246459961
53.47307205200195,-12.372623443603516,21.517345428466797
57.18024826049805,-6.627645492553711,26.511734008789062
61.025474548339844,0.5215752124786377,33.011287689208984
63.76494216918945,10.53038501739502,37.34305953979492
61.008949279785156,18.63844871520996,33.561431884765625
55.30067825317383,21.63466453552246,25.64089012145996
50.38502502441406,26.910022735595703,20.62559700012207
46.60715103149414,33.137855529785156,17.99561309814453
46.39448165893555,41.596981048583984,16.332334518432617
49.45331954956055,49.7352409362793,15.200546264648438
50.836429595947266,58.18445587158203,14.099766731262207
50.006893157958984,65.56352996826172,12.330948829650879
50.02219009399414,74.97428131103516,12.784331321716309
47.699825286865234,82.76644134521484,16.00381088256836
44.76927947998047,93.38946533203125,16.021244049072266
41.80271530151367,100.82598876953125,11.419212341308594
41.35737228393555,108.8333511352539,9.948617935180664
40.39175796508789,122.19947814941406,11.380338668823242
41.96382141113281,132.83872985839844,25.22644805908203
33.295433044433594,143.57049560546875,27.941967010498047
14.205592155456543,161.4559326171875,20.673065185546875
-9.740800857543945,172.64602661132812,33.224937438964844
-18.416391372680664,179.3494873046875,35.445701599121094
